,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,genres,director
0,2011-05-20,Pirates of the Caribbean: On Stranger Tides 2011,410600000,241063875,1045663875,804600000,635063875,"Action,Adventure,Fantasy",Rob Marshall
1,2019-06-07,Dark Phoenix 2019,350000000,42762350,149762350,107000000,-200237650,"Action,Adventure,Sci-Fi",Simon Kinberg
2,2015-05-01,Avengers: Age of Ultron 2015,330600000,459005868,1403013963,944008095,1072413963,"Action,Adventure,Sci-Fi",Joss Whedon
3,2018-04-27,Avengers: Infinity War 2018,300000000,678815482,2048134200,1369318718,1748134200,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo"
4,2017-11-17,Justice League 2017,300000000,229024295,655945209,426920914,355945209,"Action,Adventure,Fantasy",Zack Snyder
5,2015-11-06,Spectre 2015,300000000,200074175,879620923,679546748,579620923,"Action,Adventure,Thriller",Sam Mendes
6,2012-07-20,The Dark Knight Rises 2012,275000000,448139099,1084439099,636300000,809439099,"Action,Thriller",Christopher Nolan
7,2018-05-25,Solo: A Star Wars Story 2018,275000000,213767512,393151347,179383835,118151347,"Action,Adventure,Fantasy",Ron Howard
8,2013-07-02,The Lone Ranger 2013,275000000,89302115,260002115,170700000,-14997885,"Action,Adventure,Western",Gore Verbinski
9,2012-03-09,John Carter 2012,275000000,73058679,282778100,209719421,7778100,"Action,Adventure,Sci-Fi",Andrew Stanton
10,2010-11-24,Tangled 2010,260000000,200821936,586477240,385655304,326477240,"Adventure,Animation,Comedy","Nathan Greno, Byron Howard"
11,2016-05-06,Captain America: Civil War 2016,250000000,408084349,1140069413,731985064,890069413,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo"
12,2016-03-25,Batman v Superman: Dawn of Justice 2016,250000000,330360194,867500281,537140087,617500281,"Action,Adventure,Fantasy",Zack Snyder
13,2012-12-14,The Hobbit: An Unexpected Journey 2012,250000000,303003568,1017003568,714000000,767003568,"Adventure,Family,Fantasy",Peter Jackson
14,2013-12-13,The Hobbit: The Desolation of Smaug 2013,250000000,258366855,960366855,702000000,710366855,"Adventure,Fantasy",Peter Jackson
15,2014-12-17,The Hobbit: The Battle of the Five Armies 2014,250000000,255119788,945577621,690457833,695577621,"Adventure,Fantasy",Peter Jackson
16,2017-04-14,The Fate of the Furious 2017,250000000,225764765,1234846267,1009081502,984846267,"Action,Crime,Thriller",F. Gary Gray
17,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales 2017,230000000,172558876,788241137,615682261,558241137,"Action,Adventure,Fantasy","Joachim Rønning, Espen Sandberg"
18,2012-05-04,The Avengers 2012,225000000,623279547,1517935897,894656350,1292935897,"Action,Adventure,Sci-Fi",Joss Whedon
19,2013-06-14,Man of Steel 2013,225000000,291045518,667999518,376954000,442999518,"Action,Adventure,Sci-Fi",Zack Snyder
20,2012-07-03,The Amazing Spider-Man 2012,220000000,262030663,757890267,495859604,537890267,"Action,Adventure,Sci-Fi",Marc Webb
21,2012-05-18,Battleship 2012,220000000,65233400,313477717,248244317,93477717,"Action,Adventure,Sci-Fi",Peter Berg
22,2017-06-21,Transformers: The Last Knight 2017,217000000,130168683,602893340,472724657,385893340,"Action,Adventure,Sci-Fi",Michael Bay
23,2015-06-12,Jurassic World 2015,215000000,652270625,1648854864,996584239,1433854864,"Action,Adventure,Sci-Fi",Colin Trevorrow
24,2012-05-25,Men in Black 3 2012,215000000,179020854,654213485,475192631,439213485,"Action,Adventure,Comedy",Barry Sonnenfeld
25,2014-06-27,Transformers: Age of Extinction 2014,210000000,245439076,1104039076,858600000,894039076,"Action,Adventure,Sci-Fi",Michael Bay
26,2010-05-14,Robin Hood 2010,210000000,105487148,322459006,216971858,112459006,"Action,Adventure,Drama",Ridley Scott
27,2018-02-16,Black Panther 2018,200000000,700059566,1348258224,648198658,1148258224,"Action,Adventure,Sci-Fi",Ryan Coogler
28,2018-06-15,Incredibles 2 2018,200000000,608581744,1242520711,633938967,1042520711,"Action,Adventure,Animation",Brad Bird
29,2016-12-16,Rogue One: A Star Wars Story 2016,200000000,532177324,1049102856,516925532,849102856,"Action,Adventure,Sci-Fi",Gareth Edwards
30,2016-06-17,Finding Dory 2016,200000000,486295561,1021215193,534919632,821215193,"Adventure,Animation,Comedy","Andrew Stanton, Angus MacLane"
31,2010-06-18,Toy Story 3 2010,200000000,415004880,1068879522,653874642,868879522,"Adventure,Animation,Comedy",Lee Unkrich
32,2013-05-03,Iron Man 3 2013,200000000,408992272,1215392272,806400000,1015392272,"Action,Adventure,Sci-Fi",Shane Black
33,2010-03-05,Alice in Wonderland 2010,200000000,334191110,1025491110,691300000,825491110,"Adventure,Family,Fantasy",Tim Burton
