,title,release_year,average_rating,runtime_minutes,genres,studio,total_gross_mil,domestic_gross,foreign_gross,total_gross
0,Toy Story 3,2010,8.3,103.0,"Adventure,Animation,Comedy",BV,1067.0,"$415,000,000","$652,000,000","$1,067,000,000"
1,Alice In Wonderland ,2010,,,,BV,1025.5,"$334,200,000","$691,300,000","$1,025,500,000"
2,Harry Potter And The Deathly Hallows Part 1,2010,,,,WB,960.3,"$296,000,000","$664,300,000","$960,300,000"
3,Inception,2010,8.8,148.0,"Action,Adventure,Sci-Fi",WB,828.3,"$292,600,000","$535,700,000","$828,300,000"
4,Shrek Forever After,2010,6.3,93.0,"Adventure,Animation,Comedy",P/DW,752.6,"$238,700,000","$513,900,000","$752,600,000"
5,The Twilight Saga: Eclipse,2010,5.0,124.0,"Adventure,Drama,Fantasy",Sum.,698.5,"$300,500,000","$398,000,000","$698,500,000"
6,Iron Man 2,2010,7.0,124.0,"Action,Adventure,Sci-Fi",Par.,623.9,"$312,400,000","$311,500,000","$623,900,000"
7,Tangled,2010,7.8,100.0,"Adventure,Animation,Comedy",BV,591.8,"$200,800,000","$391,000,000","$591,800,000"
8,Despicable Me,2010,7.7,95.0,"Animation,Comedy,Family",Uni.,543.1,"$251,500,000","$291,600,000","$543,100,000"
9,How To Train Your Dragon,2010,8.1,98.0,"Action,Adventure,Animation",P/DW,494.9,"$217,600,000","$277,300,000","$494,900,000"
10,Clash Of The Titans ,2010,,,,WB,493.2,"$163,200,000","$330,000,000","$493,200,000"
11,The Chronicles Of Narnia: The Voyage Of The Dawn Treader,2010,6.3,113.0,"Adventure,Family,Fantasy",Fox,415.7,"$104,400,000","$311,300,000","$415,700,000"
12,The King'S Speech,2010,8.0,118.0,"Biography,Drama,History",Wein.,410.9,"$135,500,000","$275,400,000","$410,900,000"
13,Tron Legacy,2010,,,,BV,400.1,"$172,100,000","$228,000,000","$400,100,000"
14,The Karate Kid,2010,6.2,140.0,"Action,Drama,Family",Sony,359.1,"$176,600,000","$182,500,000","$359,100,000"
15,Prince Of Persia: The Sands Of Time,2010,6.6,116.0,"Action,Adventure,Fantasy",BV,336.4,"$90,800,000","$245,600,000","$336,400,000"
16,Black Swan,2010,8.0,108.0,"Drama,Thriller",FoxS,329.4,"$107,000,000","$222,400,000","$329,400,000"
17,Megamind,2010,7.3,95.0,"Action,Animation,Comedy",P/DW,321.9,"$148,400,000","$173,500,000","$321,900,000"
18,Robin Hood,2010,6.6,140.0,"Action,Adventure,Drama",Uni.,321.7,"$105,300,000","$216,400,000","$321,700,000"
19,The Last Airbender,2010,4.1,103.0,"Action,Adventure,Family",Par.,319.7,"$131,800,000","$187,900,000","$319,700,000"
20,Little Fockers,2010,5.5,98.0,"Comedy,Romance",Uni.,310.6,"$148,400,000","$162,200,000","$310,600,000"
21,Resident Evil: Afterlife,2010,5.9,96.0,"Action,Adventure,Horror",SGem,300.2,"$60,100,000","$240,100,000","$300,200,000"
22,Shutter Island,2010,8.1,138.0,"Mystery,Thriller",Par.,294.8,"$128,000,000","$166,800,000","$294,800,000"
23,Salt,2010,6.4,100.0,"Action,Mystery,Thriller",Sony,293.5,"$118,300,000","$175,200,000","$293,500,000"
24,Sex And The City 2,2010,4.4,146.0,"Comedy,Drama,Romance",WB (NL),288.3,"$95,300,000","$193,000,000","$288,300,000"
25,The Tourist,2010,6.0,103.0,"Action,Adventure,Thriller",Sony,278.3,"$67,600,000","$210,700,000","$278,300,000"
26,The Expendables,2010,6.5,103.0,"Action,Adventure,Thriller",LGF,274.5,"$103,100,000","$171,400,000","$274,500,000"
27,Grown Ups,2010,6.0,102.0,Comedy,Sony,271.4,"$162,000,000","$109,400,000","$271,400,000"
28,Knight & Day,2010,,,,Fox,261.9,"$76,400,000","$185,500,000","$261,900,000"
29,True Grit,2010,7.6,110.0,"Adventure,Drama,Western",Par.,252.2,"$171,200,000","$81,000,000","$252,200,000"
30,Gulliver'S Travels,2010,4.9,85.0,"Adventure,Comedy,Family",Fox,237.4,"$42,800,000","$194,600,000","$237,400,000"
31,Percy Jackson & The Olympians: The Lightning Thief,2010,5.9,118.0,"Adventure,Family,Fantasy",Fox,226.5,"$88,800,000","$137,700,000","$226,500,000"
32,The Social Network,2010,7.7,120.0,"Biography,Drama",Sony,225.0,"$97,000,000","$128,000,000","$225,000,000"
33,Valentine'S Day,2010,5.7,125.0,"Comedy,Romance",WB (NL),216.5,"$110,500,000","$106,000,000","$216,500,000"
34,The Sorcerer'S Apprentice,2010,6.1,109.0,"Action,Adventure,Family",BV,215.3,"$63,200,000","$152,100,000","$215,300,000"
35,Due Date,2010,6.5,95.0,"Adventure,Comedy",WB,211.7,"$100,500,000","$111,200,000","$211,700,000"
36,Eat Pray Love,2010,5.8,133.0,"Drama,Romance",Sony,204.6,"$80,600,000","$124,000,000","$204,600,000"
37,Yogi Bear,2010,4.6,80.0,"Adventure,Animation,Comedy",WB,201.5,"$100,200,000","$101,300,000","$201,500,000"
38,Red,2010,7.1,111.0,"Action,Comedy,Crime",Sum.,199.0,"$90,400,000","$108,600,000","$199,000,000"
39,Paranormal Activity 2,2010,5.7,91.0,Horror,Par.,177.6,"$84,800,000","$92,800,000","$177,600,000"
40,The A-Team,2010,6.8,117.0,"Action,Adventure,Thriller",Fox,177.2,"$77,200,000","$100,000,000","$177,200,000"
41,Jackass 3-D,2010,,,,Par.,171.7,"$117,200,000","$54,500,000","$171,700,000"
42,The Other Guys,2010,6.7,107.0,"Action,Comedy,Crime",Sony,170.4,"$119,200,000","$51,200,000","$170,400,000"
43,Unstoppable,2010,6.8,98.0,"Action,Thriller",Fox,167.8,"$81,600,000","$86,200,000","$167,800,000"
44,Step Up 3-D,2010,,,,BV,159.3,"$42,400,000","$116,900,000","$159,300,000"
45,The Book Of Eli,2010,6.9,118.0,"Action,Adventure,Drama",WB,157.1,"$94,800,000","$62,300,000","$157,100,000"
46,The Town,2010,7.6,125.0,"Crime,Drama,Thriller",WB,154.0,"$92,200,000","$61,800,000","$154,000,000"
47,Date Night,2010,6.3,88.0,"Comedy,Crime,Romance",Fox,152.3,"$98,700,000","$53,600,000","$152,300,000"
48,Legend Of The Guardians: The Owls Of Ga'Hoole,2010,7.0,97.0,"Action,Adventure,Animation",WB,140.1,"$55,700,000","$84,400,000","$140,100,000"
49,The Wolfman,2010,5.8,103.0,"Drama,Fantasy,Horror",Uni.,139.8,"$62,000,000","$77,800,000","$139,800,000"
50,The Bounty Hunter,2010,5.6,110.0,"Action,Comedy,Romance",Sony,136.399999,"$67,099,999","$69,300,000","$136,399,999"
