,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,profit,release_year,genres,director,roi_domestic,roi_foreign,roi_worldwide
0,2011-05-20,Pirates of the Caribbean: On Stranger Tides 2011,410600000,241063875,1045663875,804600000,635063875,2011,"Action,Adventure,Fantasy",Rob Marshall,-41.28985021919143,95.95713589868485,154.6672856794934
1,2019-06-07,Dark Phoenix 2019,350000000,42762350,149762350,107000000,-200237650,2019,"Action,Adventure,Sci-Fi",Simon Kinberg,-87.7821857142857,-69.42857142857143,-57.21075714285714
2,2015-05-01,Avengers: Age of Ultron 2015,330600000,459005868,1403013963,944008095,1072413963,2015,"Action,Adventure,Sci-Fi",Joss Whedon,38.84025045372051,185.543888384755,324.38413883847545
3,2018-04-27,Avengers: Infinity War 2018,300000000,678815482,2048134200,1369318718,1748134200,2018,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo",126.27182733333333,356.43957266666666,582.7114
4,2017-11-17,Justice League 2017,300000000,229024295,655945209,426920914,355945209,2017,"Action,Adventure,Fantasy",Zack Snyder,-23.65856833333333,42.30697133333333,118.64840299999999
5,2015-11-06,Spectre 2015,300000000,200074175,879620923,679546748,579620923,2015,"Action,Adventure,Thriller",Sam Mendes,-33.30860833333333,126.51558266666667,193.20697433333333
6,2012-07-20,The Dark Knight Rises 2012,275000000,448139099,1084439099,636300000,809439099,2012,"Action,Thriller",Christopher Nolan,62.959672363636365,131.38181818181818,294.3414905454545
7,2018-05-25,Solo: A Star Wars Story 2018,275000000,213767512,393151347,179383835,118151347,2018,"Action,Adventure,Fantasy",Ron Howard,-22.266359272727275,-34.76951454545454,42.96412618181818
8,2013-07-02,The Lone Ranger 2013,275000000,89302115,260002115,170700000,-14997885,2013,"Action,Adventure,Western",Gore Verbinski,-67.52650363636363,-37.92727272727273,-5.453776363636364
9,2012-03-09,John Carter 2012,275000000,73058679,282778100,209719421,7778100,2012,"Action,Adventure,Sci-Fi",Andrew Stanton,-73.43320763636363,-23.73839236363636,2.8284
11,2016-05-06,Captain America: Civil War 2016,250000000,408084349,1140069413,731985064,890069413,2016,"Action,Adventure,Sci-Fi","Anthony Russo, Joe Russo",63.23373960000001,192.7940256,356.0277652
12,2016-03-25,Batman v Superman: Dawn of Justice 2016,250000000,330360194,867500281,537140087,617500281,2016,"Action,Adventure,Fantasy",Zack Snyder,32.144077599999996,114.85603479999999,247.0001124
13,2012-12-14,The Hobbit: An Unexpected Journey 2012,250000000,303003568,1017003568,714000000,767003568,2012,"Adventure,Family,Fantasy",Peter Jackson,21.2014272,185.60000000000002,306.80142720000003
14,2013-12-13,The Hobbit: The Desolation of Smaug 2013,250000000,258366855,960366855,702000000,710366855,2013,"Adventure,Fantasy",Peter Jackson,3.346742,180.8,284.14674199999996
15,2014-12-17,The Hobbit: The Battle of the Five Armies 2014,250000000,255119788,945577621,690457833,695577621,2014,"Adventure,Fantasy",Peter Jackson,2.0479152000000003,176.18313320000001,278.23104839999996
16,2017-04-14,The Fate of the Furious 2017,250000000,225764765,1234846267,1009081502,984846267,2017,"Action,Crime,Thriller",F. Gary Gray,-9.694094,303.63260080000003,393.9385068
17,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales 2017,230000000,172558876,788241137,615682261,558241137,2017,"Action,Adventure,Fantasy","Joachim Rønning, Espen Sandberg",-24.974401739130432,167.6879395652174,242.71353782608696
18,2012-05-04,The Avengers 2012,225000000,623279547,1517935897,894656350,1292935897,2012,"Action,Adventure,Sci-Fi",Joss Whedon,177.01313199999998,297.6250444444445,574.6381764444444
19,2013-06-14,Man of Steel 2013,225000000,291045518,667999518,376954000,442999518,2013,"Action,Adventure,Sci-Fi",Zack Snyder,29.353563555555557,67.5351111111111,196.88867466666667
20,2012-07-03,The Amazing Spider-Man 2012,220000000,262030663,757890267,495859604,537890267,2012,"Action,Adventure,Sci-Fi",Marc Webb,19.104846818181816,125.39072909090909,244.4955759090909
21,2012-05-18,Battleship 2012,220000000,65233400,313477717,248244317,93477717,2012,"Action,Adventure,Sci-Fi",Peter Berg,-70.34845454545454,12.838325909090909,42.48987136363636
22,2017-06-21,Transformers: The Last Knight 2017,217000000,130168683,602893340,472724657,385893340,2017,"Action,Adventure,Sci-Fi",Michael Bay,-40.01443179723502,117.84546405529954,177.8310322580645
23,2015-06-12,Jurassic World 2015,215000000,652270625,1648854864,996584239,1433854864,2015,"Action,Adventure,Sci-Fi",Colin Trevorrow,203.38168604651165,363.52755302325585,666.9092390697674
24,2012-05-25,Men in Black 3 2012,215000000,179020854,654213485,475192631,439213485,2012,"Action,Adventure,Comedy",Barry Sonnenfeld,-16.734486511627907,121.01982837209302,204.2853418604651
